시/도,구,단지명,URL,입주일자,세대수,최고가,최저가(22년이후),최저가(2개월이내),매물최저가,최저비율,매물개수,80%이하rur개수,전세매물최고,전세가율,전세매물최저,전세매물개수
서울특별시,강서구,강서한강자이(국평),https://new.land.naver.com/complexes/103293,2013.09.25.,"790세대(장기전세 81세대 포함, 총10동)",13억6천,11억500,11억3천,12억2천,-10,7건,0건,7억5천,47,7억5천,1건
서울특별시,강서구,염창1차한화꿈에그린(국평),https://new.land.naver.com/complexes/11565,2005.04.01.,422세대(7동),14억5천,13억3천,0,12억,-17,12건,0건,,,,
서울특별시,강서구,마곡엠밸리1단지(국평),https://new.land.naver.com/complexes/107482,2014.06.19.,"237세대(국민임대 130세대, 장기전세 11세대 포함, 총4동)",12억4천500,11억6천500,11억6천500,11억9천,-4,12건,0건,,,,
서울특별시,강서구,우장산힐스테이트(국평),https://new.land.naver.com/complexes/11337,2005.05.04.,"2,198세대(40동)",14억9천,10억7천,12억,11억8천,-20,34건,1건,7억2천,50,7억,5건
서울특별시,강서구,강서힐스테이트(국평),https://new.land.naver.com/complexes/103305,2015.08.19.,"2,603세대(37동)",14억5천,11억,11억2천,11억8천,-18,51건,0건,8억5천,50,6억8천,9건
서울특별시,강서구,"우장산아이파크,이편한세상(국평)",,2008.01.08.,"2,517세대(42동)",14억,9억500,11억6천,11억6천,-17,39건,0건,8억,55,7억,17건
서울특별시,강서구,마곡엠벨리(15단지)(소형),https://new.land.naver.com/complexes/107477,2014.05.29.,"1,171세대(국민임대 299세대, 장기전세 456세대 포함, 총13동)",13억1천,9억9천,10억,11억5천,-12,1건,0건,6억7천,58,6억5천,2건
서울특별시,강서구,마곡엠밸리11단지(소형),https://new.land.naver.com/complexes/112280,2016.09.12.,"347세대(기타임대 245세대 포함, 총6동)",9억9천500,9억3천500,0,11억5천,15,3건,0건,,,,
서울특별시,강서구,강변힐스테이트(국평),https://new.land.naver.com/complexes/9161,2005.06.28.,417세대(7동),13억6천,9억4천,0,10억5천,-22,14건,1건,7억5천,48,6억8천,3건
서울특별시,강서구,강변월드메르디앙(국평),https://new.land.naver.com/complexes/26914,2010.03.30.,164세대(3동),10억9천,10억3천,0,10억5천,-3,11건,0건,6억3천,48,6억3천,1건
서울특별시,강서구,마곡힐스테이트(소형),https://new.land.naver.com/complexes/108359,2017.08.03.,"603세대(장기전세 59세대 포함, 총8동)",12억6천,9억6천,10억9천,10억5천,-16,6건,0건,6억6천,60,6억5천,5건
서울특별시,강서구,염창1차한화꿈에그린(소형),https://new.land.naver.com/complexes/11565,2005.04.01.,422세대(7동),12억3천,9억9천,0,10억5천,-14,9건,0건,,,,
